no,region,house_type,structure,upper_ins_type,lower_ins_type,upper_u,wall_u,lower_u,base_psi_outside,base_psi_inside,window_u,window_attachment_u,window_eta,window_attachement_eta
C-0010,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0055,5,戸建,木造,天井断熱,床断熱,0.21,0.46,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-0066,6,戸建,木造,屋根断熱,基礎断熱,0.29,0.23,-,0.45,0.45,2.33,1.99,0.29,0.19
D-0075,5,戸建,木造,天井断熱,床断熱,0.43,0.7,0.42,0.53,0.76,4.07,3.21,0.32,0.21
D-0087,2,戸建,木造,天井断熱,基礎断熱,0.17,0.28,-,0.31,0.31,1.7,1.5,0.27,0.18
D-0111,5,戸建,木造,天井断熱,床断熱,0.18,0.45,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-0112,6,戸建,木造,天井断熱,床断熱,0.18,0.45,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-0129,6,戸建,木造,屋根断熱,床断熱,1.36,1.34,0.47,0.53,0.76,4.07,3.21,0.32,0.21
D-0236,6,戸建,木造,天井断熱,床断熱,0.35,0.45,0.57,0.53,0.76,4.07,3.21,0.32,0.21
D-0247,4,戸建,木造,屋根断熱,床断熱,0.42,0.58,0.76,0.53,0.76,2.33,1.99,0.32,0.21
D-0258,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.42,0.42,1.7,1.5,0.27,0.18
D-0262,4,戸建,木造,屋根断熱,床断熱,0.24,0.39,0.38,0.53,0.76,2.33,1.99,0.32,0.21
D-0269,6,戸建,木造,天井断熱,床断熱,0.38,0.48,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-0274,4,戸建,木造,屋根断熱,基礎断熱,0.27,0.28,-,0.37,0.37,2.33,1.99,0.32,0.21
D-0287,5,戸建,木造,天井断熱,基礎断熱,0.17,0.42,-,0.58,0.58,2.33,1.99,0.29,0.19
D-0298,5,戸建,木造,屋根断熱,床断熱,0.39,0.48,0.68,0.53,0.76,3.49,2.82,0.32,0.21
D-0369,3,戸建,木造,天井断熱,床断熱,0.25,0.45,0.29,0.37,0.53,2.33,1.99,0.32,0.21
D-0399,6,戸建,木造,天井断熱,床断熱,0.28,0.39,0.51,0.53,0.76,3.49,2.82,0.32,0.21
D-0501,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.48,0.53,0.76,3.49,2.82,0.32,0.21
D-0521,3,戸建,木造,天井断熱,床断熱,0.18,0.5,0.33,0.37,0.53,2.91,2.41,0.29,0.19
D-0532,5,戸建,木造,天井断熱,床断熱,0.23,0.3,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0585,3,戸建,木造,屋根断熱,床断熱,0.6,0.61,0.72,0.37,0.53,3.49,2.82,0.32,0.21
D-0594,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0595,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.45,-,0.52,0.52,1.9,1.66,0.29,0.19
D-0616,4,戸建,木造,屋根断熱,床断熱,0.31,0.49,0.45,0.53,0.76,1.9,1.66,0.29,0.19
D-0630,3,戸建,木造,天井断熱,床断熱,0.17,0.45,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0632,3,戸建,木造,天井断熱,床断熱,0.17,0.45,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0659,4,戸建,木造,天井断熱,床断熱,0.18,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0700,6,戸建,木造,屋根断熱,床断熱,0.48,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-0741,5,戸建,木造,天井断熱,基礎断熱,0.26,0.53,-,0.52,0.52,2.33,1.99,0.32,0.21
D-0750,2,戸建,木造,屋根断熱,床断熱,0.24,0.22,0.48,0.37,0.53,1.9,1.66,0.29,0.19
D-0758,2,戸建,木造,天井断熱,床断熱,0.25,0.41,0.5,0.37,0.53,1.9,1.66,0.29,0.19
D-0791,5,戸建,木造,天井断熱,床断熱,0.45,0.61,0.47,0.53,0.76,3.49,2.82,0.32,0.21
D-0796,6,戸建,木造,屋根断熱,床断熱,0.32,0.37,0.55,0.53,0.76,2.91,2.41,0.29,0.19
D-0868,3,戸建,木造,天井断熱,床断熱,0.21,0.43,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-0886,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0887,6,戸建,木造,屋根断熱,基礎断熱,0.44,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0888,6,戸建,木造,屋根断熱,基礎断熱,0.55,0.56,-,0.51,0.51,2.33,1.99,0.32,0.21
D-0918,6,戸建,木造,屋根断熱,基礎断熱,0.69,0.45,-,0.68,0.68,2.33,1.99,0.32,0.21
D-0919,5,戸建,木造,屋根断熱,床断熱,0.44,0.45,0.39,0.53,0.76,2.33,1.99,0.32,0.21
D-0942,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.51,0.51,1.9,1.66,0.29,0.19
D-0943,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.51,0.51,1.9,1.66,0.29,0.19
D-1013,4,戸建,木造,屋根断熱,床断熱,0.31,0.56,0.47,0.53,0.76,4.07,3.21,0.32,0.21
D-1029,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1032,6,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1033,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.55,0.53,0.76,3.49,2.82,0.32,0.21
D-1034,5,戸建,木造,天井断熱,床断熱,0.24,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1035,5,戸建,木造,天井断熱,床断熱,0.24,0.51,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1064,6,戸建,木造,屋根断熱,基礎断熱,0.52,0.52,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1092,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.5,-,0.51,0.51,2.15,1.85,0.32,0.21
D-1095,6,戸建,木造,天井断熱,床断熱,0.23,0.74,0.46,0.53,0.76,2.33,1.99,0.32,0.21
D-1126,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1127,5,戸建,木造,屋根断熱,床断熱,0.33,0.3,0.62,0.53,0.76,3.49,2.82,0.32,0.21
D-1129,6,戸建,木造,天井断熱,床断熱,0.22,0.48,0.26,0.53,0.76,1.7,1.5,0.27,0.18
D-1132,5,戸建,木造,屋根断熱,基礎断熱,0.4,0.48,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1135,1,戸建,木造,天井断熱,床断熱,0.18,0.29,0.29,0.37,0.53,1.9,1.66,0.29,0.19
D-1141,6,戸建,木造,天井断熱,基礎断熱,0.54,0.45,-,0.4,0.4,2.33,1.99,0.29,0.19
D-1142,6,戸建,木造,屋根断熱,基礎断熱,0.31,0.38,-,0.52,0.52,2.33,1.99,0.29,0.19
D-1144,5,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-1160,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.36,0.53,0.76,2.33,1.99,0.32,0.21
D-1164,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.43,0.53,0.76,3.49,2.82,0.32,0.21
D-1181,6,戸建,木造,天井断熱,床断熱,0.33,0.42,0.81,0.53,0.76,2.33,1.99,0.32,0.21
D-1212,3,戸建,木造,天井断熱,床断熱,0.18,0.45,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-1246,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.68,0.53,0.76,3.49,2.82,0.32,0.21
D-1259,3,戸建,木造,天井断熱,床断熱,0.23,0.51,0.34,0.37,0.53,2.33,1.99,0.29,0.19
D-1269,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.72,0.53,0.76,4.07,3.21,0.32,0.21
D-1271,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.46,0.53,0.76,2.15,1.85,0.32,0.21
D-1301,4,戸建,木造,屋根断熱,床断熱,0.55,0.56,0.68,0.53,0.76,2.33,1.99,0.32,0.21
D-1302,6,戸建,木造,天井断熱,床断熱,0.43,0.53,0.92,0.53,0.76,3.49,2.82,0.32,0.21
D-1320,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.5,-,0.47,0.47,2.33,1.99,0.29,0.19
D-1347,6,戸建,木造,天井断熱,床断熱,0.23,0.42,0.43,0.53,0.76,2.33,1.99,0.32,0.21
D-1366,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-1379,6,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.52,0.52,2.33,1.99,0.32,0.21
D-1383,6,戸建,木造,天井断熱,床断熱,0.23,0.48,0.36,0.53,0.76,3.49,2.82,0.32,0.21
D-1392,5,戸建,木造,天井断熱,床断熱,0.23,0.35,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1394,3,戸建,木造,天井断熱,床断熱,0.18,0.45,0.62,0.37,0.53,2.91,2.41,0.29,0.19
D-1401,3,戸建,木造,天井断熱,床断熱,0.18,0.45,0.33,0.37,0.53,2.33,1.99,0.32,0.21
D-1402,3,戸建,木造,天井断熱,床断熱,0.18,0.45,0.33,0.37,0.53,2.33,1.99,0.32,0.21
D-1472,4,戸建,木造,天井断熱,床断熱,0.33,0.42,0.47,0.53,0.76,1.9,1.66,0.29,0.19
D-1495,6,戸建,木造,屋根断熱,床断熱,0.78,0.5,0.92,0.53,0.76,4.07,3.21,0.32,0.21
D-1536,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.98,0.53,0.76,3.49,2.82,0.32,0.21
D-1553,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-1601,6,戸建,木造,屋根断熱,床断熱,0.55,0.56,0.68,0.53,0.76,2.33,1.99,0.32,0.21
D-1648,7,戸建,木造,屋根断熱,床断熱,0.31,0.38,0.47,0.53,0.76,1.9,1.66,0.29,0.19
D-1670,6,戸建,木造,天井断熱,床断熱,0.39,0.5,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-1760,2,戸建,木造,天井断熱,床断熱,0.18,0.45,0.68,0.37,0.53,1.9,1.66,0.29,0.19
D-1766,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1767,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-1828,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-1829,3,戸建,木造,天井断熱,床断熱,0.18,0.42,0.41,0.37,0.53,2.27,1.94,0.3,0.2
D-1854,5,戸建,木造,天井断熱,床断熱,0.28,0.51,0.68,0.53,0.76,4.07,3.21,0.32,0.21
D-1873,6,戸建,木造,天井断熱,床断熱,0.25,0.56,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-1884,6,戸建,木造,屋根断熱,床断熱,0.31,0.5,0.46,0.53,0.76,2.91,2.41,0.29,0.19
D-1899,6,戸建,木造,天井断熱,床断熱,0.35,0.5,0.68,0.53,0.76,4.07,3.21,0.32,0.21
D-1902,3,戸建,木造,天井断熱,床断熱,0.25,0.56,0.38,0.37,0.53,1.9,1.66,0.29,0.19
D-1952,4,戸建,木造,天井断熱,床断熱,0.18,0.45,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-1973,5,戸建,木造,屋根断熱,基礎断熱,0.45,0.46,-,0.52,0.52,1.7,1.5,0.27,0.18
D-2012,5,戸建,木造,屋根断熱,基礎断熱,0.44,0.38,-,0.39,0.39,2.15,1.85,0.32,0.21
D-2019,6,戸建,木造,天井断熱,床断熱,0.23,0.5,0.35,0.53,0.76,3.49,2.82,0.32,0.21
D-2155,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,1.9,1.66,0.29,0.19
D-2156,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,1.9,1.66,0.29,0.19
D-2205,4,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-2206,4,戸建,木造,天井断熱,床断熱,0.23,0.51,0.47,0.53,0.76,2.33,1.99,0.32,0.21
D-2212,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2213,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2214,7,戸建,木造,天井断熱,床断熱,0.23,0.45,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2215,7,戸建,木造,天井断熱,床断熱,0.23,0.45,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2216,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2217,6,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2218,7,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2219,7,戸建,木造,天井断熱,床断熱,0.45,0.56,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2220,6,戸建,木造,屋根断熱,床断熱,0.55,0.61,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2221,6,戸建,木造,屋根断熱,床断熱,0.6,0.78,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2222,6,戸建,木造,屋根断熱,床断熱,0.6,0.78,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2223,7,戸建,木造,屋根断熱,床断熱,0.6,0.78,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2224,7,戸建,木造,天井断熱,床断熱,0.49,0.78,0.92,0.53,0.76,2.33,1.99,0.32,0.21
D-2225,6,戸建,木造,天井断熱,床断熱,0.25,0.61,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2226,7,戸建,木造,屋根断熱,床断熱,0.31,0.61,0.72,0.53,0.76,2.33,1.99,0.32,0.21
D-2273,6,戸建,木造,天井断熱,床断熱,0.17,0.51,0.26,0.53,0.76,2.15,1.85,0.32,0.21
D-2274,6,戸建,木造,天井断熱,床断熱,0.17,0.51,0.26,0.53,0.76,2.15,1.85,0.32,0.21
D-2275,6,戸建,木造,天井断熱,床断熱,0.17,0.35,0.26,0.53,0.76,2.15,1.85,0.32,0.21
D-2410,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.55,0.53,0.76,1.9,1.66,0.29,0.19
D-2411,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.55,0.53,0.76,1.9,1.66,0.29,0.19
D-2446,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-2449,5,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.57,0.53,0.76,2.33,1.99,0.32,0.21
D-2450,5,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.57,0.53,0.76,2.33,1.99,0.32,0.21
D-2451,5,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-2452,6,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-2453,6,戸建,木造,屋根断熱,床断熱,0.48,0.5,0.49,0.53,0.76,2.33,1.99,0.32,0.21
D-2459,3,戸建,木造,天井断熱,基礎断熱,0.23,0.42,-,0.38,0.38,2.15,1.85,0.32,0.21
D-2460,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.38,0.38,1.9,1.66,0.29,0.19
D-2461,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.38,0.38,1.9,1.66,0.29,0.19
D-2462,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.38,0.38,1.9,1.66,0.29,0.19
D-2463,4,戸建,木造,屋根断熱,基礎断熱,0.31,0.56,-,0.38,0.38,1.9,1.66,0.29,0.19
D-2464,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.61,-,0.38,0.38,1.9,1.66,0.29,0.19
D-2465,3,戸建,木造,天井断熱,基礎断熱,0.23,0.51,-,0.45,0.45,2.33,1.99,0.29,0.19
D-2466,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.53,-,0.38,0.38,2.33,1.99,0.29,0.19
D-2467,3,戸建,木造,天井断熱,基礎断熱,0.25,0.51,-,0.45,0.45,2.33,1.99,0.29,0.19
D-2468,3,戸建,木造,屋根断熱,基礎断熱,0.31,0.6,-,0.38,0.38,2.33,1.99,0.29,0.19
D-2478,4,戸建,木造,天井断熱,床断熱,0.18,0.42,0.35,0.53,0.76,1.9,1.66,0.29,0.19
D-2479,4,戸建,木造,天井断熱,床断熱,0.18,0.42,0.35,0.53,0.76,1.9,1.66,0.29,0.19
D-2480,4,戸建,木造,天井断熱,床断熱,0.18,0.42,0.35,0.53,0.76,1.9,1.66,0.29,0.19
D-2482,6,戸建,木造,天井断熱,床断熱,0.41,0.55,0.56,0.53,0.76,4.07,3.21,0.32,0.21
D-2510,2,戸建,木造,天井断熱,基礎断熱,0.17,0.26,-,0.15,0.15,1.9,1.66,0.29,0.19
D-2511,2,戸建,木造,天井断熱,基礎断熱,0.13,0.22,-,0.15,0.15,1.7,1.5,0.27,0.18
D-2512,2,戸建,木造,天井断熱,基礎断熱,0.17,0.26,-,0.15,0.15,1.9,1.66,0.29,0.19
D-2513,2,戸建,木造,天井断熱,床断熱,0.17,0.26,0.33,0.37,0.53,1.9,1.66,0.29,0.19
D-2552,6,戸建,木造,天井断熱,床断熱,0.23,0.45,0.55,0.53,0.76,2.33,1.99,0.32,0.21
D-2576,5,戸建,木造,天井断熱,床断熱,0.23,0.42,0.65,0.53,0.76,3.49,2.82,0.32,0.21
D-2579,3,戸建,木造,天井断熱,床断熱,4.22,3.8,2.22,0.37,0.53,3.49,2.82,0.32,0.21
D-2585,2,戸建,木造,屋根断熱,基礎断熱,0.15,0.19,-,0.15,0.15,2.27,1.94,0.3,0.2
D-2592,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.49,0.53,0.76,3.49,2.82,0.32,0.21
D-2593,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-2594,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,3.49,2.82,0.32,0.21
D-2596,5,戸建,木造,天井断熱,床断熱,0.45,0.56,0.49,0.53,0.76,3.49,2.82,0.32,0.21
D-2598,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.68,0.53,0.76,3.49,2.82,0.32,0.21
D-2680,5,戸建,木造,天井断熱,床断熱,0.35,0.74,0.51,0.53,0.76,3.49,2.82,0.32,0.21
D-2681,5,戸建,木造,天井断熱,床断熱,0.33,0.42,0.51,0.53,0.76,3.49,2.82,0.32,0.21
P-0828,4,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,1.9,1.66,0.29,0.19
P-0829,4,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,1.9,1.66,0.29,0.19
P-0830,4,戸建,木造,天井断熱,床断熱,0.18,0.47,0.29,0.53,0.76,1.9,1.66,0.29,0.19
P-0831,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0832,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0833,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0834,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0835,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0836,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0837,5,戸建,木造,天井断熱,床断熱,0.18,0.47,0.29,0.53,0.76,2.33,1.99,0.32,0.21
P-0838,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0839,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0840,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0843,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0844,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0845,5,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0846,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0847,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0848,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0849,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0850,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0853,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0854,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0855,6,戸建,木造,天井断熱,床断熱,0.18,0.47,0.29,0.53,0.76,2.33,1.99,0.32,0.21
P-0856,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0857,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0858,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0859,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0860,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0861,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0862,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0865,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0868,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0869,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0870,6,戸建,木造,天井断熱,床断熱,0.18,0.47,0.29,0.53,0.76,2.33,1.99,0.32,0.21
P-0871,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0872,6,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
P-0873,7,戸建,木造,天井断熱,床断熱,0.18,0.6,0.64,0.53,0.76,2.33,1.99,0.32,0.21
C-0002,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.46,0.53,0.76,3.49,2.82,0.51,0.3
C-0011,6,戸建,木造,屋根断熱,床断熱,0.47,0.48,0.42,0.53,0.76,6.51,4.75,0.7,0.3
D-0001,6,戸建,木造,天井断熱,床断熱,0.25,0.56,0.51,0.53,0.76,2.33,1.99,0.32,0.21
D-0005,7,戸建,木造,屋根断熱,床断熱,0.44,0.61,0.48,0.53,0.76,2.33,1.99,0.29,0.19
D-0006,5,戸建,木造,屋根断熱,床断熱,0.44,0.61,0.68,0.53,0.76,2.33,1.99,0.32,0.21
D-0007,5,戸建,木造,天井断熱,基礎断熱,0.23,0.42,-,0.5,0.5,1.7,1.5,0.42,0.27
D-0009,5,戸建,木造,屋根断熱,床断熱,0.55,0.45,0.47,0.53,0.76,2.33,1.99,0.46,0.27
D-0010,5,戸建,木造,天井断熱,床断熱,0.23,0.51,0.48,0.53,0.76,2.33,1.99,0.32,0.21
D-0013,5,戸建,木造,天井断熱,床断熱,0.28,0.36,0.35,0.53,0.76,2.33,1.99,0.32,0.21
D-0014,3,戸建,木造,天井断熱,床断熱,0.35,0.24,0.42,0.37,0.53,3.49,2.82,0.63,0.3
D-0015,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.6,1.42,0.24,0.16
D-0016,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.6,1.42,0.24,0.16
D-0017,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-0019,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-0020,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-0021,6,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-0022,5,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.6,1.42,0.24,0.16
D-0023,5,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.6,1.42,0.24,0.16
D-0024,5,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.9,1.66,0.29,0.19
D-0025,5,戸建,木造,天井断熱,床断熱,0.19,0.42,0.42,0.53,0.76,1.6,1.42,0.24,0.16
D-0026,6,戸建,木造,天井断熱,床断熱,0.17,0.43,0.81,0.53,0.76,3.49,2.82,0.32,0.21
D-0029,4,戸建,木造,天井断熱,床断熱,0.13,0.29,0.29,0.53,0.76,1.6,1.42,0.24,0.16
D-0031,6,戸建,木造,天井断熱,床断熱,0.41,0.51,0.48,0.53,0.76,4.65,3.59,0.63,0.3
D-0032,3,戸建,木造,天井断熱,基礎断熱,0.13,0.45,-,0.33,0.33,2.15,1.85,0.51,0.3
D-0033,4,戸建,木造,天井断熱,床断熱,0.25,0.26,0.68,0.53,0.76,2.33,1.99,0.32,0.21
D-0034,5,戸建,木造,天井断熱,床断熱,0.41,0.51,0.92,0.53,0.76,4.07,3.21,0.63,0.3
D-0036,5,戸建,木造,天井断熱,基礎断熱,0.23,0.29,-,0.52,0.52,2.33,1.99,0.32,0.21
D-0037,5,戸建,木造,天井断熱,床断熱,0.35,0.45,0.68,0.53,0.76,4.07,3.21,0.63,0.3
D-0038,4,戸建,木造,天井断熱,床断熱,0.13,0.29,0.29,0.53,0.76,2.33,1.99,0.46,0.27
D-0039,6,戸建,木造,天井断熱,床断熱,0.61,0.7,0.92,0.53,0.76,3.49,2.82,0.32,0.21
D-0041,6,戸建,木造,天井断熱,床断熱,0.23,0.51,0.35,0.53,0.76,2.33,1.99,0.32,0.21
